#This file maps mm10's rsem gene IDs to gene symbols
#Allon, July 2015
#Gene RSEM ID	Gene Sybmol	Biotype
gene43713	LOC102636319	N/A
gene43714	LOC102636499	N/A
gene43715	LOC102636580	N/A
gene43716	LOC102636678	N/A
gene43717	Gm20892	unprocessed_pseudogene
gene43718	LOC102636932	N/A
gene43719	LOC102637014	N/A
gene4372	Arl14ep	protein_coding
gene43720	LOC102637125	N/A
gene43721	LOC102637396	N/A
gene43722	LOC102637473	N/A
gene43723	Gm21476	unprocessed_pseudogene
gene43724	LOC102637844	N/A
gene43725	Gm21488	protein_coding
gene43726	LOC102638529	N/A
gene43727	LOC102638612	N/A
gene43728	LOC102638795	N/A
gene43729	LOC102638864	N/A
gene43730	LOC102638979	N/A
gene43731	Gm21506	unprocessed_pseudogene
gene43732	LOC102639230	N/A
gene43733	LOC102639298	N/A
gene43734	LOC102639403	N/A
gene43735	LOC102639666	N/A
gene43736	Gm20891	unprocessed_pseudogene
gene43737	Gm20893	unprocessed_pseudogene
gene43738	LOC102632065	N/A
gene43739	Gm20894	protein_coding
gene4374	Fshb	protein_coding
gene43740	LOC102640797	N/A
gene43741	LOC102640685	N/A
gene43742	LOC102640402	N/A
gene43743	LOC102640329	N/A
gene43744	LOC102632145	N/A
gene43745	LOC102632327	N/A
gene43746	Gm20810	unprocessed_pseudogene
gene43747	Gm20811	unprocessed_pseudogene
gene43748	LOC102632905	N/A
gene43749	LOC102633168	N/A
gene4375	LOC102631721	N/A
gene43750	LOC102633255	N/A
gene43751	LOC102633448	N/A
gene43752	LOC102633683	N/A
gene43753	LOC102633801	N/A
gene43754	Gm21679	protein_coding
gene43755	LOC102634721	N/A
gene43756	Gm20985	N/A
gene43757	LOC102635287	N/A
gene43758	LOC102635098	N/A
gene43759	LOC101055947	N/A
gene4376	Kcna4	protein_coding
gene43760	LOC101055958	N/A
gene43761	LOC102635825	N/A
gene43762	LOC101055965	N/A
gene43763	LOC102636416	N/A
gene43764	LOC102636529	N/A
gene43765	LOC101055632	N/A
gene43766	LOC102637356	N/A
gene43767	LOC102637692	N/A
gene43768	Gm21529	lincRNA
gene43769	LOC102637803	N/A
gene4377	LOC102631790	N/A
gene43770	LOC102638530	N/A
gene43771	Gm21539	lincRNA
gene43772	LOC102638230	N/A
gene43773	LOC102638642	N/A
gene43774	LOC102638904	N/A
gene43775	LOC102639024	N/A
gene43776	LOC102639191	N/A
gene43777	LOC102639936	N/A
gene43778	LOC102640262	N/A
gene43779	Gm21562	lincRNA
gene4378	LOC102631868	N/A
gene43780	LOC102640364	N/A
gene43781	LOC102640763	N/A
gene43782	Gm21572	lincRNA
gene43783	LOC102640871	N/A
gene43784	LOC102631561	N/A
gene43785	LOC102631911	N/A
gene43786	LOC102632105	N/A
gene43787	LOC102631987	N/A
gene43788	LOC102632215	N/A
gene43789	LOC102632449	N/A
gene43790	LOC102632525	N/A
gene43791	LOC102633017	N/A
gene43792	LOC102633123	N/A
gene43793	LOC102633256	N/A
gene43794	LOC102633987	N/A
gene43795	LOC102634105	N/A
gene43796	Gm21588	lincRNA
gene43797	Gm21599	lincRNA
gene43798	LOC102634866	N/A
gene43799	LOC102634936	N/A
gene438	Mrps9	protein_coding
gene43800	LOC102635099	N/A
gene43801	LOC102635617	N/A
gene43802	LOC102635718	N/A
gene43803	LOC102635891	N/A
gene43804	Gm20838	protein_coding
gene43805	LOC102636751	N/A
gene43806	LOC102636859	N/A
gene43807	Gm21626	lincRNA
gene43808	Gm21633	lincRNA
gene43809	LOC102637397	N/A
gene4381	Rpl35a-ps4	processed_pseudogene
gene43810	LOC102637474	N/A
gene43811	LOC101056048	N/A
gene43812	LOC102637955	N/A
gene43813	LOC101056053	N/A
gene43814	LOC102638191	N/A
gene43815	LOC102638415	N/A
gene43816	LOC101056063	N/A
gene43817	Gm21647	unprocessed_pseudogene
gene43818	LOC102638866	N/A
gene43819	LOC102638981	N/A
gene4382	Gm13910	processed_pseudogene
gene43820	Gm21184	unprocessed_pseudogene
gene43821	LOC102639447	N/A
gene43822	LOC102639524	N/A
gene43823	LOC102639593	N/A
gene43824	Gm20853	unprocessed_pseudogene
gene43825	LOC102639858	N/A
gene43826	Gm20855	protein_coding
gene43827	LOC102640535	N/A
gene43828	LOC102640611	N/A
gene43829	LOC102640798	N/A
gene4383	LOC102631935	N/A
gene43830	LOC102640872	N/A
gene43831	Gm20799	unprocessed_pseudogene
gene43834	LOC102631847	N/A
gene43835	LOC102631913	N/A
gene43836	LOC102632182	N/A
gene43837	LOC102632259	N/A
gene43838	LOC102637092	N/A
gene43839	Gm20798	unprocessed_pseudogene
gene4384	Mettl15	protein_coding
gene43840	LOC102632526	N/A
gene43841	Gm20896	protein_coding
gene43842	LOC102637210	N/A
gene43843	LOC102633124	N/A
gene43844	LOC102633212	N/A
gene43845	Gm20898	unprocessed_pseudogene
gene43846	LOC102633529	N/A
gene43847	LOC102633642	N/A
gene43848	LOC102634145	N/A
gene43849	Gm20835	protein_coding
gene4385	Kif18a	protein_coding
gene43850	LOC102634965	N/A
gene43851	LOC101056083	N/A
gene43852	LOC102635214	N/A
gene43853	LOC102635289	N/A
gene43854	LOC102635365	N/A
gene43855	LOC101056091	N/A
gene43856	LOC102635618	N/A
gene43857	LOC102635689	N/A
gene43858	LOC101056099	N/A
gene43859	LOC102635924	N/A
gene43860	Gm20905	protein_coding
gene43861	LOC102636713	N/A
gene43862	LOC101056111	N/A
gene43863	LOC102636977	N/A
gene43864	LOC102637047	N/A
gene43865	LOC102637128	N/A
gene43866	LOC101056121	N/A
gene43867	LOC102637399	N/A
gene43868	LOC102637323	N/A
gene43869	LOC102637516	N/A
gene4387	Bdnf	protein_coding
gene43870	LOC102637849	N/A
gene43871	LOC102637992	N/A
gene43872	LOC102637924	N/A
gene43873	LOC102638103	N/A
gene43874	Gm20738	protein_coding
gene43875	LOC102638300	N/A
gene43876	LOC102638375	N/A
gene43877	LOC102638452	N/A
gene43878	LOC102638532	N/A
gene43879	LOC102638867	N/A
gene43880	Gm20897	protein_coding
gene43881	LOC102637433	N/A
gene43882	Gm20899	processed_pseudogene
gene43883	LOC102639525	N/A
gene43884	LOC102639829	N/A
gene43885	LOC102639706	N/A
gene43886	LOC102639632	N/A
gene43887	LOC102639938	N/A
gene43888	LOC102640049	N/A
gene43889	Gm20901	unprocessed_pseudogene
gene4389	Lin7c	protein_coding
gene43890	LOC102637550	N/A
gene43891	LOC102640504	N/A
gene43892	LOC102640613	N/A
gene43893	LOC102640688	N/A
gene43894	LOC102640917	N/A
gene43895	LOC102640800	N/A
gene43896	LOC102631628	N/A
gene43897	LOC102631521	N/A
gene43898	LOC102631737	N/A
gene43899	LOC102631848	N/A
gene439	Gpr45	protein_coding
gene4390	Gm13939	processed_transcript
gene43900	LOC102632022	N/A
gene43901	LOC102632183	N/A
gene43902	LOC102632675	N/A
gene43903	LOC102632872	N/A
gene43904	LOC102632749	N/A
gene43905	LOC102632977	N/A
gene43906	LOC102633375	N/A
gene43907	Gm20793	unprocessed_pseudogene
gene43908	Gm20795	protein_coding
gene43909	LOC102637652	N/A
gene4391	Lgr4	protein_coding
gene43910	Gm20832	unprocessed_pseudogene
gene43911	LOC102637764	N/A
gene43912	LOC102636209	N/A
gene43913	Gm20827	unprocessed_pseudogene
gene43914	LOC102634255	N/A
gene43915	LOC102634369	N/A
gene43916	LOC102635517	N/A
gene43917	LOC102635325	N/A
gene43918	LOC102635215	N/A
gene43919	LOC101055773	N/A
gene4392	Ccdc34	protein_coding
gene43920	LOC102637995	N/A
gene43921	LOC102635035	N/A
gene43922	LOC101056166	N/A
gene43923	LOC102634831	N/A
gene43924	LOC101056174	N/A
gene43925	LOC102635858	N/A
gene43926	LOC102635961	N/A
gene43927	LOC102638232	N/A
gene43928	LOC102637804	N/A
gene43929	LOC102637621	N/A
gene4393	Ccdc34os	antisense
gene43930	LOC102637549	N/A
gene43931	LOC102637401	N/A
gene43932	LOC102637257	N/A
gene43933	LOC102637130	N/A
gene43934	LOC102636418	N/A
gene43935	LOC102636320	N/A
gene43936	LOC102637885	N/A
gene43937	LOC102638067	N/A
gene43938	LOC102638154	N/A
gene43939	LOC102638340	N/A
gene4394	LOC102632093	N/A
gene43940	LOC102638453	N/A
gene43941	LOC102638643	N/A
gene43942	LOC102638717	N/A
gene43943	LOC102638829	N/A
gene43944	LOC102639489	N/A
gene43945	LOC102639302	N/A
gene43946	LOC101056195	N/A
gene43947	LOC101056307	N/A
gene43948	LOC102639830	N/A
gene43949	LOC102639940	N/A
gene4395	LOC102632005	N/A
gene43950	LOC102640051	N/A
gene43951	LOC102640505	N/A
gene43952	LOC102640614	N/A
gene43953	Gm21247	unprocessed_pseudogene
gene43954	LOC102638577	N/A
gene43955	LOC102638688	N/A
gene43956	LOC102632023	N/A
gene43957	LOC102632217	N/A
gene43958	LOC102632527	N/A
gene43959	LOC102632625	N/A
gene4396	Gm13937	processed_pseudogene
gene43960	LOC102632709	N/A
gene43961	LOC102632829	N/A
gene43962	LOC102633876	N/A
gene43963	Gm21170	protein_coding
gene43964	LOC102638798	N/A
gene43965	LOC102634370	N/A
gene43966	LOC102634647	N/A
gene43967	LOC102634760	N/A
gene43968	LOC102634937	N/A
gene43969	LOC102635000	N/A
gene4397	Bbox1	protein_coding
gene43970	LOC102635248	N/A
gene43971	Gm20792	protein_coding
gene43972	LOC102637651	N/A
gene43973	Gm21191	unprocessed_pseudogene
gene43974	LOC102637358	N/A
gene43975	Gm21281	unprocessed_pseudogene
gene43976	LOC102637091	N/A
gene43977	LOC102636979	N/A
gene43978	LOC102636419	N/A
gene43979	LOC102636321	N/A
gene4398	LOC102632174	N/A
gene43980	Gm21308	unprocessed_pseudogene
gene43981	LOC102638302	N/A
gene43982	LOC102638105	N/A
gene43983	LOC102638377	N/A
gene43984	Gm21209	protein_coding
gene43985	LOC101056230	N/A
gene43986	LOC102639026	N/A
gene43987	Gm21316	unprocessed_pseudogene
gene43988	LOC102639753	N/A
gene43989	LOC102639563	N/A
gene4399	Fibin	protein_coding
gene43990	LOC102639831	N/A
gene43991	LOC102639895	N/A
gene43992	LOC102639027	N/A
gene43993	LOC102640158	N/A
gene43994	Gm20880	unprocessed_pseudogene
gene43995	Gm20881	unprocessed_pseudogene
gene43996	LOC102640647	N/A
gene43997	LOC102640732	N/A
gene43998	LOC102640874	N/A
gene43999	LOC102631522	N/A
gene4400	Gm13935	processed_pseudogene
gene44000	Gm20883	protein_coding
gene44001	LOC102632409	N/A
gene44002	Gm20887	unprocessed_pseudogene
gene44003	LOC102633125	N/A
gene44004	LOC102633022	N/A
gene44005	LOC102633215	N/A
gene44006	LOC102633377	N/A
gene44007	LOC102633566	N/A
gene44008	Gm21117	protein_coding
gene44009	LOC102639124	N/A
gene4401	Slc5a12	protein_coding
gene44010	LOC102634146	N/A
gene44011	Gm20884	unprocessed_pseudogene
gene44012	LOC102634492	N/A
gene44013	LOC102634612	N/A
gene44014	Gm21387	unprocessed_pseudogene
gene44015	Gm21396	unprocessed_pseudogene
gene44016	LOC102635063	N/A
gene44017	LOC102635140	N/A
gene44018	LOC102635291	N/A
gene44019	Gm20920	protein_coding
gene4402	Ano3	protein_coding
gene44020	LOC102636105	N/A
gene44021	Gm21245	unprocessed_pseudogene
gene44022	LOC102639668	N/A
gene44023	LOC102639783	N/A
gene44024	LOC102639942	N/A
gene44025	LOC102640120	N/A
gene44026	LOC102632676	N/A
gene44027	Gm20923	unprocessed_pseudogene
gene44028	Gm21249	unprocessed_pseudogene
gene44029	LOC102640875	N/A
gene4403	Muc15	protein_coding
gene44030	LOC102631523	N/A
gene44031	Gm21258	protein_coding
gene44032	Gm21268	unprocessed_pseudogene
gene44033	Gm21275	unprocessed_pseudogene
gene44034	LOC102632750	N/A
gene44035	LOC102632978	N/A
gene44036	LOC102633084	N/A
gene44037	Gm21285	unprocessed_pseudogene
gene44038	Gm20747	protein_coding
gene44039	LOC102633499	N/A
gene4404	Gm13941	protein_coding
gene44040	LOC102633602	N/A
gene44041	LOC102633726	N/A
gene44042	LOC102633919	N/A
gene44043	LOC102632797	N/A
gene44044	LOC102634186	N/A
gene44045	LOC102633990	N/A
gene44046	LOC102634257	N/A
gene44047	LOC102634371	N/A
gene44048	Gm20929	protein_coding
gene44049	LOC102635327	N/A
gene4405	LOC102632471	N/A
gene44050	Gm21302	unprocessed_pseudogene
gene44053	LOC102636936	N/A
gene44054	LOC102636786	N/A
gene44055	LOC102636680	N/A
gene44056	LOC102636613	N/A
gene44057	LOC102636421	N/A
gene44058	LOC102632908	N/A
gene44059	LOC102636244	N/A
gene44060	LOC102636170	N/A
gene44061	LOC102636062	N/A
gene44062	LOC102635998	N/A
gene44063	LOC102635480	N/A
gene44064	LOC102635407	N/A
gene44065	Gm20927	unprocessed_pseudogene
gene44066	Gm20930	unprocessed_pseudogene
gene44067	LOC102639161	N/A
gene44068	LOC102639092	N/A
gene44069	LOC102638906	N/A
gene4407	4930430A15Rik	protein_coding
gene44070	Gm20931	protein_coding
gene44071	LOC102633024	N/A
gene44072	LOC102638193	N/A
gene44073	LOC102637996	N/A
gene44074	Gm21330	unprocessed_pseudogene
gene44075	LOC102637729	N/A
gene44076	LOC102639233	N/A
gene44077	LOC102639303	N/A
gene44078	LOC102639490	N/A
gene44079	Gm21340	unprocessed_pseudogene
gene4408	Olfr1275	protein_coding
gene44080	LOC102640649	N/A
gene44081	LOC102640733	N/A
gene44082	LOC102640876	N/A
gene44083	LOC102640990	N/A
gene44084	LOC102631563	N/A
gene44085	LOC102631671	N/A
gene44086	LOC102631951	N/A
gene44087	LOC102631849	N/A
gene44088	LOC102632025	N/A
gene44089	LOC101055735	N/A
gene4409	Olfr1276	protein_coding
gene44090	LOC102634337	N/A
gene44091	Gm20913	unprocessed_pseudogene
gene44092	LOC102635179	N/A
gene44093	LOC102635103	N/A
gene44094	LOC102634938	N/A
gene44095	Sly	protein_coding
gene44096	LOC102631672	N/A
gene44097	LOC102634867	N/A
gene44098	LOC102634694	N/A
gene44099	Gm21943	protein_coding
gene441	Tgfbrap1	protein_coding
gene4410	Olfr1277	protein_coding
gene44100	LOC102634613	N/A
gene44101	LOC102635249	N/A
gene44102	LOC102635329	N/A
gene44103	LOC102636501	N/A
gene44104	LOC102636323	N/A
gene44105	LOC102636210	N/A
gene44106	LOC102631773	N/A
gene44107	LOC102636030	N/A
gene44108	LOC102635860	N/A
gene44109	Gm20963	lincRNA
gene4411	Olfr1278	protein_coding
gene44110	LOC102635519	N/A
gene44111	Gm20962	N/A
gene44112	Gm21405	unprocessed_pseudogene
gene44113	LOC102637518	N/A
gene44114	LOC101055766	N/A
gene44115	LOC102638493	N/A
gene44116	LOC102638617	N/A
gene44117	Gm21413	lincRNA
gene44118	LOC102638830	N/A
gene44119	Gm21419	lincRNA
gene4412	Olfr1279	protein_coding
gene44120	LOC102639304	N/A
gene44121	Gm21428	lincRNA
gene44122	LOC102639594	N/A
gene44123	LOC102639708	N/A
gene44124	LOC102640197	N/A
gene44125	Gm20871	unprocessed_pseudogene
gene44126	Gm20978	lincRNA
gene44127	Gm21450	lincRNA
gene44128	LOC102631803	N/A
gene44129	LOC102631629	N/A
gene4413	Olfr1280	protein_coding
gene44130	LOC102631564	N/A
gene44131	LOC102640950	N/A
gene44132	LOC102640840	N/A
gene44133	LOC102632218	N/A
gene44134	LOC102632109	N/A
gene44135	LOC102633127	N/A
gene44136	Gm20794	unprocessed_pseudogene
gene44137	LOC102632329	N/A
gene44138	LOC102633644	N/A
gene44139	Gm20987	lincRNA
gene4414	Olfr1281	protein_coding
gene44140	LOC102633991	N/A
gene44141	LOC102633920	N/A
gene44142	LOC102632450	N/A
gene44143	LOC102634373	N/A
gene44144	1700040F15Rik	N/A
gene44145	LOC102636753	N/A
gene44146	Gm21489	unprocessed_pseudogene
gene44147	LOC102636456	N/A
gene44148	Gm21573	unprocessed_pseudogene
gene44149	LOC102636211	N/A
gene4415	Olfr1282	protein_coding
gene44150	LOC102636106	N/A
gene44151	Gm21497	protein_coding
gene44152	LOC102635481	N/A
gene44153	Gm20803	transcribed_unprocessed_pseudogene
gene44154	LOC102637551	N/A
gene44155	LOC102637359	N/A
gene44156	LOC102637622	N/A
gene44157	Gm21518	protein_coding
gene44158	LOC102632556	N/A
gene44159	LOC102638267	N/A
gene4416	Olfr1283	protein_coding
gene44160	Gm20823	protein_coding
gene44161	LOC102638416	N/A
gene44162	LOC102638719	N/A
gene44163	LOC102638534	N/A
gene44164	LOC102638799	N/A
gene44165	LOC102638870	N/A
gene44166	LOC102632677	N/A
gene44167	LOC102639125	N/A
gene44168	Gm21530	unprocessed_pseudogene
gene44169	Gm21617	transcribed_unprocessed_pseudogene
gene4417	Olfr1284	protein_coding
gene44170	LOC102639634	N/A
gene44171	LOC102639709	N/A
gene44172	LOC102639861	N/A
gene44173	LOC102640001	N/A
gene44174	Gm21627	protein_coding
gene44175	LOC102640877	N/A
gene44176	Gm21634	unprocessed_pseudogene
gene44177	LOC102632798	N/A
gene44178	LOC102632979	N/A
gene44179	Gm20885	unprocessed_pseudogene
gene4418	Olfr1285	unprocessed_pseudogene
gene44180	LOC102636718	N/A
gene44181	LOC102633567	N/A
gene44182	Gm21654	unprocessed_pseudogene
gene44183	LOC102633921	N/A
gene44184	LOC102633992	N/A
gene44185	LOC102634108	N/A
gene44186	Gm20882	unprocessed_pseudogene
gene44187	Gm20907	unprocessed_pseudogene
gene44188	LOC102634614	N/A
gene44189	LOC102634695	N/A
gene4419	Olfr1286	protein_coding
gene44190	LOC102634832	N/A
gene44191	Gm20908	protein_coding
gene44192	LOC102635651	N/A
gene44193	LOC101056018	N/A
gene44194	Gm20921	unprocessed_pseudogene
gene44195	LOC102636171	N/A
gene44196	LOC102636272	N/A
gene44197	LOC102636422	N/A
gene44198	LOC102636614	N/A
gene44199	LOC102636821	N/A
gene442	AI597479	protein_coding
gene4420	Olfr1287	protein_coding
gene44200	Gm21171	unprocessed_pseudogene
gene44201	Gm20924	protein_coding
gene44202	LOC102639263	N/A
gene44203	LOC102639407	N/A
gene44204	Gm20736	protein_coding
gene44205	Gm20936	unprocessed_pseudogene
gene44206	Gm20934	unprocessed_pseudogene
gene44207	LOC102639943	N/A
gene44208	LOC102640159	N/A
gene44209	LOC102640264	N/A
gene4421	Olfr1288	protein_coding
gene44210	Gm20933	unprocessed_pseudogene
gene44211	LOC102640616	N/A
gene44212	LOC102640690	N/A
gene44213	LOC102640766	N/A
gene44214	LOC102640878	N/A
gene44215	LOC102631565	N/A
gene44216	LOC102631700	N/A
gene44217	LOC102631630	N/A
gene44218	LOC102631882	N/A
gene44219	Gm20852	protein_coding
gene4422	Olfr1289	protein_coding
gene44220	LOC102631988	N/A
gene44221	LOC102632067	N/A
gene44222	LOC102632219	N/A
gene44223	LOC102632330	N/A
gene44224	LOC102632410	N/A
gene44225	LOC102637360	N/A
gene44226	Ssty2	protein_coding
gene44227	LOC102632592	N/A
gene44228	LOC102632751	N/A
gene44229	Gm21114	unprocessed_pseudogene
gene4423	Olfr1290	protein_coding
gene44230	LOC102633217	N/A
gene44231	LOC102633378	N/A
gene44232	LOC102637475	N/A
gene44233	Gm20874	unprocessed_pseudogene
gene44234	LOC102634069	N/A
gene44235	LOC102637580	N/A
gene44236	LOC102634188	N/A
gene44237	LOC102634301	N/A
gene44238	LOC102634413	N/A
gene44239	Gm20935	unprocessed_pseudogene
gene44240	LOC101056096	N/A
gene44241	LOC102634833	N/A
gene44242	LOC102637694	N/A
gene44243	Gm20937	protein_coding
gene44244	LOC102635545	N/A
gene44245	LOC102635719	N/A
gene44246	LOC102635652	N/A
gene44247	Gm20816	protein_coding
gene44248	LOC102635828	N/A
gene44249	Gm20817	protein_coding
gene4425	Olfr1292-ps1	processed_pseudogene
gene44250	LOC102636172	N/A
gene44251	LOC102636273	N/A
gene44252	LOC102636389	N/A
gene44253	Gm20818	unprocessed_pseudogene
gene44254	LOC102636787	N/A
gene44255	LOC102636862	N/A
gene44256	Gm21160	unprocessed_pseudogene
gene44257	LOC102637173	N/A
gene44258	LOC102637292	N/A
gene44259	Gm20932	unprocessed_pseudogene
gene44260	LOC102639195	N/A
gene44261	LOC102639264	N/A
gene44262	Gm21524	unprocessed_pseudogene
gene44263	LOC102639669	N/A
gene44264	LOC102639784	N/A
gene44265	LOC102634696	N/A
gene44266	Gm21672	unprocessed_pseudogene
gene44267	Gm21118	protein_coding
gene44268	LOC102640539	N/A
gene44269	LOC102640366	N/A
gene4427	Olfr1294	protein_coding
gene44270	LOC102640617	N/A
gene44271	LOC102640767	N/A
gene44272	4932431L22Rik	TEC
gene44273	Gm20888	protein_coding
gene44274	LOC102632026	N/A
gene44275	Gm20886	unprocessed_pseudogene
gene44276	LOC102632185	N/A
gene44277	LOC102632752	N/A
gene44278	LOC102632557	N/A
gene44279	LOC102632830	N/A
gene4428	Olfr1295	protein_coding
gene44280	LOC102632909	N/A
gene44281	LOC102634801	N/A
gene44282	LOC102633085	N/A
gene44283	Gm20866	unprocessed_pseudogene
gene44284	Gm20868	unprocessed_pseudogene
gene44285	LOC102633568	N/A
gene44286	LOC102633645	N/A
gene44287	LOC102633803	N/A
gene44288	Gm20869	protein_coding
gene44289	LOC102634615	N/A
gene4429	Olfr1296-ps1	processed_pseudogene
gene44290	Gm20870	protein_coding
gene44291	LOC102635330	N/A
gene44292	LOC102634898	N/A
gene44293	LOC101056060	N/A
gene44294	Gm20842	unprocessed_pseudogene
gene44295	LOC102635963	N/A
gene44296	LOC102635861	N/A
gene44297	LOC102636031	N/A
gene44298	LOC102636173	N/A
gene44299	LOC102635001	N/A
gene443	Fhl2	protein_coding
gene4430	Olfr1297	protein_coding
gene44300	Gm20843	protein_coding
gene44301	Gm20844	unprocessed_pseudogene
gene44302	LOC102637174	N/A
gene44303	LOC102637324	N/A
gene44304	LOC102637476	N/A
gene44305	Gm20845	N/A
gene44306	Gm20846	unprocessed_pseudogene
gene44307	Gm20847	unprocessed_pseudogene
gene44308	Gm20848	unprocessed_pseudogene
gene44309	LOC102639028	N/A
gene4431	Olfr1298	protein_coding
gene44310	LOC102639093	N/A
gene44311	LOC102639196	N/A
gene44312	Gm20800	unprocessed_pseudogene
gene44313	Gm21683	unprocessed_pseudogene
gene44314	LOC102639754	N/A
gene44315	LOC102639896	N/A
gene44316	LOC102640052	N/A
gene44317	LOC102640227	N/A
gene44318	Gm20902	unprocessed_pseudogene
gene44319	LOC102640473	N/A
gene4432	Olfr1299	protein_coding
gene44320	LOC102640540	N/A
gene44321	LOC102640691	N/A
gene44322	Gm20903	protein_coding
gene44323	LOC102632149	N/A
gene44324	LOC102632220	N/A
gene44325	Gm21715	unprocessed_pseudogene
gene44326	LOC102632627	N/A
gene44327	LOC102632753	N/A
gene44328	LOC102632910	N/A
gene44329	Gm20805	unprocessed_pseudogene
gene4433	Olfr1300-ps1	processed_pseudogene
gene44330	LOC102633218	N/A
gene44331	LOC102633298	N/A
gene44332	LOC102635106	N/A
gene44333	LOC102633379	N/A
gene44334	LOC102633451	N/A
gene44335	LOC102634190	N/A
gene44336	Gm21076	unprocessed_pseudogene
gene44337	LOC102635218	N/A
gene44340	Gm20813	unprocessed_pseudogene
gene44341	LOC102634570	N/A
gene44342	LOC102634799	N/A
gene44343	LOC102634939	N/A
gene44344	Gm20814	protein_coding
gene44345	LOC102635332	N/A
gene44346	LOC102635620	N/A
gene44347	LOC102635440	N/A
gene44348	Gm21111	unprocessed_pseudogene
gene44349	LOC102635691	N/A
gene4435	Olfr1301	protein_coding
gene44350	LOC102635761	N/A
gene44351	Gm20850	protein_coding
gene44352	LOC102636356	N/A
gene44353	LOC102636423	N/A
gene44354	LOC102636616	N/A
gene44355	LOC102636788	N/A
gene44356	LOC102636863	N/A
gene44357	LOC102636937	N/A
gene44358	LOC102637016	N/A
gene44359	LOC102635653	N/A
gene4436	Olfr1302	protein_coding
gene44360	LOC102635762	N/A
gene44361	LOC102637293	N/A
gene44362	Gm21163	unprocessed_pseudogene
gene44363	LOC102637624	N/A
gene44364	LOC102637695	N/A
gene44365	LOC102637805	N/A
gene44366	Gm21173	protein_coding
gene44367	LOC102638417	N/A
gene44368	Gm21180	unprocessed_pseudogene
gene44369	LOC102639126	N/A
gene4437	Olfr1303	protein_coding
gene44370	LOC102639029	N/A
gene44371	LOC102639197	N/A
gene44372	Gm21638	unprocessed_pseudogene
gene44373	LOC102635864	N/A
gene44374	LOC102639898	N/A
gene44375	LOC102640053	N/A
gene44376	LOC102635964	N/A
gene44377	LOC102640160	N/A
gene44378	Gm21650	protein_coding
gene44379	LOC102636064	N/A
gene44380	LOC102640841	N/A
gene44381	Gm20867	protein_coding
gene44382	Gm21658	unprocessed_pseudogene
gene44383	LOC102631673	N/A
gene44384	LOC102631775	N/A
gene44385	LOC102631953	N/A
gene44386	LOC101056109	N/A
gene44387	Orly	N/A
gene44388	LOC102632912	N/A
gene44389	Gm20808	unprocessed_pseudogene
gene4439	Gm13931	N/A
gene44390	Gm20806	protein_coding
gene44391	LOC102633299	N/A
gene44392	LOC102633414	N/A
gene44393	LOC102633531	N/A
gene44394	Gm20919	unprocessed_pseudogene
gene44395	Gm20917	protein_coding
gene44396	LOC102634070	N/A
gene44397	LOC102633922	N/A
gene44398	LOC102634147	N/A
gene44399	LOC102634260	N/A
gene444	Gm8210	processed_pseudogene
gene4440	Olfr1305	protein_coding
gene44400	LOC102634458	N/A
gene44401	Gm20916	protein_coding
gene44402	LOC102636174	N/A
gene44403	Gm21242	unprocessed_pseudogene
gene44404	LOC102635483	N/A
gene44405	Gm21248	processed_pseudogene
gene44406	LOC102635925	N/A
gene44407	LOC102636063	N/A
gene44408	LOC102636245	N/A
gene44409	LOC101056116	N/A
gene4441	Olfr1306	protein_coding
gene44410	LOC102637017	N/A
gene44411	Gm21257	unprocessed_pseudogene
gene44412	LOC102637326	N/A
gene44413	LOC102637477	N/A
gene44414	Gm20841	unprocessed_pseudogene
gene44415	LOC102638068	N/A
gene44416	LOC102638194	N/A
gene44417	LOC102638305	N/A
gene44418	LOC102638495	N/A
gene44419	LOC102638579	N/A
gene44420	LOC102639265	N/A
gene44421	Gm21282	unprocessed_pseudogene
gene44422	LOC102639527	N/A
gene44423	LOC102639595	N/A
gene44424	LOC102639785	N/A
gene44425	Gm20911	protein_coding
gene44426	LOC102636390	N/A
gene44427	LOC102639944	N/A
gene44428	LOC102640054	N/A
gene44429	Gm20912	unprocessed_pseudogene
gene4443	Olfr1307	protein_coding
gene44430	Gm20801	unprocessed_pseudogene
gene44431	LOC102640474	N/A
gene44432	LOC102640541	N/A
gene44433	LOC102640692	N/A
gene44434	LOC102636502	N/A
gene44435	LOC102631524	N/A
gene44436	LOC102631631	N/A
gene44437	LOC102631916	N/A
gene44438	LOC102631990	N/A
gene44439	Gm21317	protein_coding
gene4444	Olfr1308	protein_coding
gene44440	LOC102632981	N/A
gene44441	Gm21333	unprocessed_pseudogene
gene44442	LOC102633415	N/A
gene44443	LOC102633501	N/A
gene44444	LOC102633604	N/A
gene44445	LOC102633727	N/A
gene44446	Gm21344	unprocessed_pseudogene
gene44447	LOC102634338	N/A
gene44448	LOC102634224	N/A
gene44449	LOC102634414	N/A
gene4445	Olfr1309	protein_coding
gene44450	LOC102634493	N/A
gene44451	LOC102635180	N/A
gene44452	LOC102635250	N/A
gene44453	LOC102635367	N/A
gene44454	LOC102635547	N/A
gene44455	Gm20862	unprocessed_pseudogene
gene44456	Gm20863	unprocessed_pseudogene
gene44457	LOC102637361	N/A
gene44458	LOC102637212	N/A
gene44459	Gm21095	protein_coding
gene44460	LOC102637767	N/A
gene44461	Gm21380	unprocessed_pseudogene
gene44462	LOC102636617	N/A
gene44463	LOC100862006	N/A
