#This file maps mm10's rsem gene IDs to gene symbols
#Allon, July 2015
#Gene RSEM ID	Gene Sybmol	Biotype
gene10320	Masp2	protein_coding
gene10321	Tardbp	protein_coding
gene10322	Gm572	protein_coding
gene10323	LOC102635507	N/A
gene10324	LOC102635606	N/A
gene10325	Casz1	protein_coding
gene10326	LOC102635786	N/A
gene10327	Pex14	protein_coding
gene10328	Gm9506	processed_pseudogene
gene10329	Dffa	protein_coding
gene1033	C130036L24Rik	processed_transcript
gene10330	Cort	protein_coding
gene10331	Apitd1	protein_coding
gene10333	Pgd	protein_coding
gene10334	Kif1b	protein_coding
gene10335	Ube4b	protein_coding
gene10336	Ube4bos3	antisense
gene10337	Rbp7	protein_coding
gene10339	Nmnat1	protein_coding
gene1034	Nmur1	protein_coding
gene10340	LOC102636051	N/A
gene10341	Lzic	protein_coding
gene10342	Ctnnbip1	protein_coding
gene10343	Mir5616	miRNA
gene10344	Clstn1	protein_coding
gene10345	Pik3cd	protein_coding
gene10346	Mir7023	miRNA
gene10347	Tmem201	protein_coding
gene10348	Slc25a33	protein_coding
gene10349	Spsb1	protein_coding
gene1035	1700019O17Rik	protein_coding
gene10350	H6pd	protein_coding
gene10351	LOC102636131	N/A
gene10352	Mir34a	miRNA
gene10353	Gpr157	protein_coding
gene10354	Slc2a5	protein_coding
gene10355	Slc2a7	protein_coding
gene10356	Car6	protein_coding
gene10357	Eno1	protein_coding
gene10358	LOC102636312	N/A
gene10359	Rere	protein_coding
gene1036	LOC102635333	N/A
gene10360	LOC102638183	N/A
gene10361	LOC102636381	N/A
gene10362	Slc45a1	protein_coding
gene10363	LOC102640566	N/A
gene10364	LOC102640831	N/A
gene10365	LOC102640906	N/A
gene10366	1700045H11Rik	antisense
gene10367	Errfi1	protein_coding
gene10368	LOC102640978	N/A
gene10369	Park7	protein_coding
gene1037	LOC102635408	N/A
gene10370	LOC102631837	N/A
gene10371	LOC102631764	N/A
gene10372	Tnfrsf9	protein_coding
gene10373	LOC102631903	N/A
gene10374	Uts2	protein_coding
gene10375	Per3	protein_coding
gene10376	Vamp3	protein_coding
gene10377	Camta1	protein_coding
gene10378	LOC102632518	N/A
gene10379	LOC102632317	N/A
gene1038	Rpl30-ps6	processed_pseudogene
gene10380	LOC102632204	N/A
gene10381	LOC102632096	N/A
gene10382	LOC102631977	N/A
gene10383	Dnajc11	protein_coding
gene10384	Thap3	protein_coding
gene10385	Phf13	protein_coding
gene10386	Klhl21	protein_coding
gene10387	Zbtb48	protein_coding
gene10388	Tas1r1	protein_coding
gene10389	Nol9	protein_coding
gene1039	Ptma	protein_coding
gene10390	Plekhg5	protein_coding
gene10391	Tnfrsf25	protein_coding
gene10392	Espn	protein_coding
gene10394	Gm20377	N/A
gene10395	Hes2	protein_coding
gene10396	LOC102632584	N/A
gene10397	Acot7	protein_coding
gene10398	Gpr153	protein_coding
gene10399	Hes3	protein_coding
gene1040	Pde6d	protein_coding
gene10400	Icmt	protein_coding
gene10401	Rnf207	protein_coding
gene10402	LOC102632664	N/A
gene10403	Rpl22	protein_coding
gene10404	Chd5	protein_coding
gene10405	Kcnab2	protein_coding
gene10406	Nphp4	protein_coding
gene10407	LOC102632740	N/A
gene10409	Gm833	lincRNA
gene1041	Cops7b	protein_coding
gene10410	LOC102632895	N/A
gene10411	LOC102632969	N/A
gene10412	LOC102633041	N/A
gene10413	LOC102633157	N/A
gene10414	Ajap1	protein_coding
gene10415	LOC102633243	N/A
gene10416	LOC102633329	N/A
gene10417	LOC102633405	N/A
gene10418	LOC102633482	N/A
gene10419	LOC102633557	N/A
gene1042	Nppc	protein_coding
gene10420	BC039966	antisense
gene10421	A430005L14Rik	protein_coding
gene10422	Dffb	protein_coding
gene10423	Cep104	protein_coding
gene10424	LOC102633836	N/A
gene10425	LOC102633718	N/A
gene10426	Lrrc47	protein_coding
gene10427	Smim1	protein_coding
gene10428	LOC102633978	N/A
gene10429	Ccdc27	protein_coding
gene1043	Dis3l2	protein_coding
gene10430	Trp73	protein_coding
gene10431	Wrap73	protein_coding
gene10432	Tprgl	protein_coding
gene10433	LOC102634100	N/A
gene10434	Megf6	protein_coding
gene10435	LOC102637279	N/A
gene10436	Arhgef16	protein_coding
gene10437	LOC102634172	N/A
gene10438	Prdm16	protein_coding
gene10439	LOC102634405	N/A
gene1044	LOC102635585	N/A
gene10440	LOC102634245	N/A
gene10441	5930403L14Rik	N/A
gene10442	Gm13111	antisense
gene10443	LOC102634517	N/A
gene10444	Actrt2	protein_coding
gene10445	Ttc34	protein_coding
gene10446	LOC102634957	N/A
gene10447	LOC102634887	N/A
gene10448	Mmel1	protein_coding
gene10449	Fam213b	protein_coding
gene1045	Gm6136	processed_pseudogene
gene10450	Tnfrsf14	protein_coding
gene10451	Hes5	protein_coding
gene10452	Pank4	protein_coding
gene10453	Plch2	protein_coding
gene10454	Pex10	protein_coding
gene10455	Rer1	protein_coding
gene10456	Morn1	protein_coding
gene10457	Ski	protein_coding
gene10458	LOC102635989	N/A
gene10459	2610002J02Rik	protein_coding
gene1046	LOC102635655	N/A
gene10460	Prkcz	protein_coding
gene10461	Gabrd	protein_coding
gene10462	2010015L04Rik	N/A
gene10463	5830444B04Rik	processed_transcript
gene10464	LOC102636237	N/A
gene10465	Tmem52	protein_coding
gene10466	Gnb1	protein_coding
gene10467	LOC102638290	N/A
gene10468	Nadk	protein_coding
gene10469	Slc35e2	protein_coding
gene10470	Gm16023	processed_transcript
gene10471	Cdk11b	protein_coding
gene10472	Mmp23	protein_coding
gene10473	Mib2	protein_coding
gene10474	B930041F14Rik	protein_coding
gene10475	Ssu72	protein_coding
gene10476	LOC102636313	N/A
gene10477	Tmem240	protein_coding
gene10478	Atad3a	protein_coding
gene10479	Atad3aos	antisense
gene1048	LOC102635830	N/A
gene10480	Vwa1	protein_coding
gene10481	Tmem88b	protein_coding
gene10482	Ankrd65	protein_coding
gene10483	Mrpl20	protein_coding
gene10484	Ccnl2	protein_coding
gene10485	Aurkaip1	protein_coding
gene10486	Mxra8	protein_coding
gene10487	Dvl1	protein_coding
gene10488	Tas1r3	protein_coding
gene10489	Gltpd1	N/A
gene1049	Alppl2	protein_coding
gene10490	Cpsf3l	protein_coding
gene10491	Pusl1	protein_coding
gene10492	Acap3	protein_coding
gene10494	Ube2j2	protein_coding
gene10495	Fam132a	protein_coding
gene10496	B3galt6	protein_coding
gene10497	Sdf4	protein_coding
gene10498	Tnfrsf4	protein_coding
gene10499	Gm10560	N/A
gene105	Eya1	protein_coding
gene1050	Alpi	protein_coding
gene10500	Tnfrsf18	protein_coding
gene10501	Ttll10	protein_coding
gene10502	Mir429	miRNA
gene10503	Mir200a	miRNA
gene10504	Mir200b	miRNA
gene10505	9430015G10Rik	protein_coding
gene10506	Rnf223	N/A
gene10507	Agrn	protein_coding
gene10508	Isg15	protein_coding
gene10509	2310042D19Rik	N/A
gene1051	Akp3	protein_coding
gene10510	AW011738	protein_coding
gene10511	Plekhn1	protein_coding
gene10512	Klhl17	protein_coding
gene10513	Mir7658	miRNA
gene10514	Noc2l	protein_coding
gene10515	Samd11	protein_coding
gene10516	LOC102636972	N/A
gene10517	Vmn2r-ps159	transcribed_unprocessed_pseudogene
gene10518	Gm20782	protein_coding
gene10519	Dhrsx	protein_coding
gene1052	Ecel1	protein_coding
gene10520	Vmn2r122	protein_coding
gene10521	LOC100041504	N/A
gene10522	LOC102637418	N/A
gene10523	LOC102637312	N/A
gene10524	LOC100041516	N/A
gene10525	LOC100043918	N/A
gene10526	LOC102637029	N/A
gene10527	LOC100041536	N/A
gene10528	LOC102636914	N/A
gene10529	LOC102636841	N/A
gene1053	LOC102636138	N/A
gene10530	LOC100862324	N/A
gene10531	LOC100862220	N/A
gene10532	LOC100043921	N/A
gene10533	LOC100041593	N/A
gene10534	LOC101055676	N/A
gene10535	LOC100041599	N/A
gene10536	LOC102637606	N/A
gene10537	LOC100861969	N/A
gene10538	LOC100861978	N/A
gene10539	Ccl19-ps3	unprocessed_pseudogene
gene1054	Prss56	protein_coding
gene10540	Ccl21c	protein_coding
gene10541	Gm7819	N/A
gene10542	Gm13309	N/A
gene10543	4933409K07Rik	N/A
gene10544	LOC102640693	N/A
gene10545	LOC100862043	N/A
gene10546	Gm2506	N/A
gene10547	Gm2002	protein_coding
gene10548	4930578G10Rik	protein_coding
gene10549	LOC102634192	N/A
gene1055	Chrnd	protein_coding
gene10550	Gm2192	N/A
gene10551	LOC102633881	N/A
gene10552	Gm2023	N/A
gene10553	Gm1987	N/A
gene10554	Gm10931	protein_coding
gene10555	Gm9615	N/A
gene10556	LOC102632528	N/A
gene10557	Cd99	N/A
gene1056	Chrng	protein_coding
gene10561	Gm6486	unprocessed_pseudogene
gene10563	Gm15772	processed_pseudogene
gene10564	LOC102640506	N/A
gene10565	LOC102640405	N/A
gene10566	Cdk6	protein_coding
gene10567	LOC102631562	N/A
gene10568	LOC102640648	N/A
gene10569	Fam133b	protein_coding
gene1057	Eif4e2	protein_coding
gene10570	1700109H08Rik	protein_coding
gene10571	Rbm48	protein_coding
gene10572	Pex1	protein_coding
gene10573	Gatad1	protein_coding
gene10574	LOC102631699	N/A
gene10575	Tmbim7	protein_coding
gene10576	Ankib1	protein_coding
gene10577	Krit1	protein_coding
gene10578	Lrrd1	protein_coding
gene10579	Rps4x-ps	processed_pseudogene
gene1058	Efhd1	protein_coding
gene10580	Mterf1a	protein_coding
gene10581	Akap9	protein_coding
gene10583	Cyp51	protein_coding
gene10584	Mterf1b	protein_coding
gene10585	Fzd1	protein_coding
gene10586	LOC102631881	N/A
gene10587	Cdk14	protein_coding
gene10588	LOC102632024	N/A
gene10589	LOC102631950	N/A
gene1059	Gigyf2	protein_coding
gene10590	LOC102632108	N/A
gene10591	1700015F17Rik	protein_coding
gene10592	LOC102632184	N/A
gene10593	LOC102632294	N/A
gene10594	Cldn12	protein_coding
gene10595	Gtpbp10	protein_coding
gene10596	LOC102632626	N/A
gene10597	Gm8773	lincRNA
gene10598	A330021E22Rik	N/A
